step,measured_wavelength,control_voltage,error
0,674.9874937468734,0.0006253126563308343,0.012506253126616684
1,674.9874937468734,0.0012506253126616687,0.012506253126616684
2,674.9874937468734,0.0012506253126616687,0.012506253126616684
3,674.9874937468734,0.0012506253126616687,0.012506253126616684
4,674.9874937468734,0.0012506253126616687,0.012506253126616684
5,674.9874937468734,0.0012506253126616687,0.012506253126616684
6,674.9874937468734,0.0012506253126616687,0.012506253126616684
7,674.9874937468734,0.0012506253126616687,0.012506253126616684
8,674.9874937468734,0.0012506253126616687,0.012506253126616684
9,674.9874937468734,0.0012506253126616687,0.012506253126616684
10,674.9874937468734,0.0012506253126616687,0.012506253126616684
11,674.9874937468734,0.0012506253126616687,0.012506253126616684
12,674.9874937468734,0.0012506253126616687,0.012506253126616684
13,674.9874937468734,0.0012506253126616687,0.012506253126616684
14,674.9874937468734,0.0012506253126616687,0.012506253126616684
15,674.9874937468734,0.0012506253126616687,0.012506253126616684
16,674.9874937468734,0.0012506253126616687,0.012506253126616684
17,674.9874937468734,0.0012506253126616687,0.012506253126616684
18,674.9874937468734,0.0012506253126616687,0.012506253126616684
19,674.9874937468734,0.0012506253126616687,0.012506253126616684
20,674.9874937468734,0.0012506253126616687,0.012506253126616684
21,674.9874937468734,0.0012506253126616687,0.012506253126616684
22,674.9874937468734,0.0012506253126616687,0.012506253126616684
23,674.9874937468734,0.0012506253126616687,0.012506253126616684
24,674.9874937468734,0.0012506253126616687,0.012506253126616684
25,674.9874937468734,0.0012506253126616687,0.012506253126616684
26,674.9874937468734,0.0012506253126616687,0.012506253126616684
27,674.9874937468734,0.0012506253126616687,0.012506253126616684
28,674.9874937468734,0.0012506253126616687,0.012506253126616684
29,674.9874937468734,0.0012506253126616687,0.012506253126616684
30,674.9874937468734,0.0012506253126616687,0.012506253126616684
31,674.9874937468734,0.0012506253126616687,0.012506253126616684
32,675.0375187593797,-0.0006253126563251499,-0.037518759379736366
33,675.0375187593797,-0.002501250625311968,-0.037518759379736366
34,674.9874937468734,-0.0018759379689811339,0.012506253126616684
35,674.9874937468734,-0.0012506253126502997,0.012506253126616684
36,674.9874937468734,-0.0006253126563194654,0.012506253126616684
37,674.9874937468734,1.1368943980683e-14,0.012506253126616684
38,674.9874937468734,0.0006253126563422033,0.012506253126616684
39,674.9874937468734,0.0012506253126730376,0.012506253126616684
40,675.0375187593797,-0.0006253126563137809,-0.037518759379736366
41,675.0375187593797,-0.0025012506253005995,-0.037518759379736366
42,674.9874937468734,-0.001875937968969765,0.012506253126616684
43,674.9874937468734,-0.0012506253126389308,0.012506253126616684
44,675.0375187593797,-0.0031265632816257494,-0.037518759379736366
45,675.0375187593797,-0.0050025012506125675,-0.037518759379736366
46,674.9874937468734,-0.004377188594281733,0.012506253126616684
47,675.0375187593797,-0.006253126563268551,-0.037518759379736366
48,674.9374687343671,-0.003126563281625749,0.06253126563285605
49,675.0375187593797,-0.0050025012506125675,-0.037518759379736366
50,674.9874937468734,-0.004377188594281733,0.012506253126616684
51,674.9874937468734,-0.0037518759379508984,0.012506253126616684
52,675.0375187593797,-0.0056278139069377165,-0.037518759379736366
53,674.9874937468734,-0.005002501250606882,0.012506253126616684
54,674.9874937468734,-0.004377188594276047,0.012506253126616684
55,674.9874937468734,-0.003751875937945213,0.012506253126616684
56,675.0375187593797,-0.005627813906932031,-0.037518759379736366
57,674.9874937468734,-0.005002501250601196,0.012506253126616684
58,674.9874937468734,-0.004377188594270362,0.012506253126616684
59,674.9874937468734,-0.0037518759379395273,0.012506253126616684
60,675.0375187593797,-0.005627813906926345,-0.037518759379736366
61,674.9874937468734,-0.005002501250595511,0.012506253126616684
62,674.9874937468734,-0.004377188594264676,0.012506253126616684
63,674.9874937468734,-0.0037518759379338417,0.012506253126616684
64,674.9874937468734,-0.003126563281603007,0.012506253126616684
65,675.0375187593797,-0.005002501250589825,-0.037518759379736366
66,674.9874937468734,-0.004377188594258991,0.012506253126616684
67,674.9874937468734,-0.003751875937928156,0.012506253126616684
68,674.9874937468734,-0.0031265632815973216,0.012506253126616684
69,675.0375187593797,-0.00500250125058414,-0.037518759379736366
70,675.0375187593797,-0.006878439219570958,-0.037518759379736366
71,674.9874937468734,-0.006253126563240123,0.012506253126616684
72,674.9874937468734,-0.005627813906909289,0.012506253126616684
73,674.9874937468734,-0.005002501250578454,0.012506253126616684
74,674.9874937468734,-0.00437718859424762,0.012506253126616684
75,674.9874937468734,-0.003751875937916785,0.012506253126616684
76,674.9874937468734,-0.0031265632815859505,0.012506253126616684
77,674.9874937468734,-0.002501250625255116,0.012506253126616684
78,674.9874937468734,-0.0018759379689242816,0.012506253126616684
79,674.9874937468734,-0.0012506253125934472,0.012506253126616684
80,675.0375187593797,-0.003126563281580266,-0.037518759379736366
81,674.9874937468734,-0.0025012506252494312,0.012506253126616684
82,675.0375187593797,-0.004377188594236249,-0.037518759379736366
83,674.9874937468734,-0.003751875937905415,0.012506253126616684
84,674.9874937468734,-0.0031265632815745802,0.012506253126616684
85,674.9874937468734,-0.0025012506252437457,0.012506253126616684
86,674.9374687343671,0.0006253126563990564,0.06253126563285605
87,674.9874937468734,0.0012506253127298906,0.012506253126616684
88,674.9874937468734,0.001875937969060725,0.012506253126616684
89,674.9374687343671,0.005002501250703528,0.06253126563285605
90,675.0375187593797,0.0031265632817167096,-0.037518759379736366
91,675.0375187593797,0.0012506253127298912,-0.037518759379736366
92,675.0375187593797,-0.0006253126562569272,-0.037518759379736366
93,674.9874937468734,7.39070805423625e-14,0.012506253126616684
94,674.9874937468734,0.0006253126564047414,0.012506253126616684
95,674.9874937468734,0.0012506253127355757,0.012506253126616684
96,674.9874937468734,0.0018759379690664098,0.012506253126616684
97,675.0375187593797,7.9591552532704e-14,-0.037518759379736366
98,675.0375187593797,-0.0018759379689072269,-0.037518759379736366
99,678.1890945472736,-0.16133066533258783,-3.189094547273612
100,677.7388694347173,-0.298274137068455,-2.738869434717344
101,677.2386193096548,-0.41020510255119685,-2.238619309654837
102,676.7883941970986,-0.49962481240612533,-1.7883941970985688
103,676.2881440720361,-0.5640320160079284,-1.2881440720360615
104,675.887943971986,-0.60842921460723,-0.8879439719860329
105,675.487743871936,-0.6328164082040302,-0.4877438719360043
106,675.1375687843922,-0.6396948474236409,-0.1375687843922151
107,674.8874437218609,-0.6340670335166863,0.11255627813909541
108,674.5872936468234,-0.6134317158578539,0.4127063531766453
109,674.4372186093046,-0.5852926463230858,0.5627813906953634
110,674.2371185592797,-0.5471485742870698,0.7628814407203208
111,674.1870935467734,-0.5065032516257417,0.8129064532265602
112,674.0870435217608,-0.4608554277137841,0.9129564782391526
113,674.0370185092546,-0.41270635317651455,0.962981490745392
114,674.0370185092546,-0.3645572786392449,0.962981490745392
115,674.0370185092546,-0.31640820410197534,0.962981490745392
116,673.9869934967484,-0.2657578789393938,1.0130065032516313
117,674.1370685342671,-0.22261130565274811,0.8629314657329132
118,674.1870935467734,-0.1819659829914201,0.8129064532265602
119,673.9869934967484,-0.13131565782883856,1.0130065032516313
120,674.1370685342671,-0.08816908454219288,0.8629314657329132
121,674.2371185592797,-0.05002501250617685,0.7628814407203208
122,674.3371685842922,-0.016883441720784743,0.6628314157078421
123,674.4372186093046,0.011255627813983423,0.5627813906953634
124,674.5872936468234,0.03189094547281569,0.4127063531766453
125,674.6373186593297,0.050025012506330305,0.36268134067029223
126,674.7373686843422,0.06315657828922099,0.2626313156578135
127,674.8374187093547,0.07128564282148772,0.16258129064533478
128,674.8874437218609,0.07691345672844249,0.11255627813909541
129,674.9874937468734,0.07753876938477332,0.012506253126616684
130,674.9874937468734,0.07816408204110414,0.012506253126616684
131,675.0375187593797,0.07628814407211733,-0.037518759379736366
132,675.087543771886,0.07191095547781853,-0.08754377188597573
133,675.087543771886,0.06753376688351975,-0.08754377188597573
